Name 	Density 
Acrylonitrile butadiene-styrene (ABS)	1040
Butyl rubber (IIR)	920
Casein formaldehyde (GAT)	1340
Cellulose acetate (CA)	1270
Cellulose acetate butyrate (CAB)	1150
Cellulose acetate propionate (CAP)	1150
Cellulose nitrate (CN)	1350
Chlorinated polyvinyl chloride (CPVC)	1490
Chlorofluorinated polyethylene (CSM)	1200
Epichlorohydrin rubber (ECO)	1200
Epoxy resin	1120
Ethylene propylene diene rubber (EPDM)	850
Ethylene tetrafluoroethylene (ETFE)	1700
Ethylene propylene rubber (EPR)	855
Ethylene chlorotrifluoroethylene (ECTFE)	1680
Fluorinated ethylene propylene (FEP)	2150
Melamine formaldehyde (MF)	1500
Natural rubber	920
Nitrile rubber (NBR)	1000
Nylon 6 (PA6)	1130
Nylon 11 (PA11)	1040
Nylon 12 (PA12)	1010
Nylon 46 (PA46)	1180
Nylon 66 (PA66)	1140
Nylon 610 (PA610)	1100
Nylon 612 (PA612)	1060
Perfluorinated alkoxy (PFA)	2140
Phenol formaldehyde (PF)	1360
Polyamide-imide (PAI)	1420
Polyarylate resins (PAR)	1210
Polybenzeneimidazole (PBI)	1300
Polybutadiene (BR)	910
Polybutylene terephthalate (PBT)	1310
Polybutylene (PB)	935
Polycarbonate (PC)	1200
Neoprene (CPR)	1230
Polyether ether ketone (PEEK)	1320
Polyetherimide (PEI)	1270
Polyethersulfone (PESU)	1370
High-density polyethylene (HDPE)	950
Low-density polyethylene (LDPE)	912
Medium-density polyethylene (MDPE)	926
Ultrahigh molecular weight polyethylene (UHMWPE)	940
Polyethylene naphthalate (PEN)	1360
Polyethylene oxide (PEO)	1125
Polyethylene terephthalate (PET)	1560
Polyhydroxybutyrate (PHB)	1250
Polyimide (PI)	1420
Polylactic acid (PLA)	1250
Polymethyl methacrylate (PMMA)	1180
Polymethylpentene (PMP)	835
Polyoxymethylene (POM)	1400
Polyphenylene oxide (PPO)	1090
Polyphenylene sulfide (PPS)	1350
Polypropylene (PP atactic)	850
Polypropylene (PP isotactic)	920
Polypropylene (PP syndiotactic)	890
High-impact polystyrene (HIPS)	1040
Polystyrene (PS)	1050
Polysulfide rubber (PSR)	1340
Polysulfone (PSU)	1240
Polytetrafluoroethylene (PTFE)	2130
Polytrifluorochloroethylene (PTFCE)	2100
Polyurethane (PUR)	1050
Polyvinyl acetate (PVA)	1190
Polyvinylidene chloride (PVDC)	1630
Polyvinylidene fluoride (PVDF)	1760
Polyvinyl fluoride (PVF)	1380
Polyvinyl chloride (PVC)	1160
Propylene vinylidene hexafluoride (PVHF)	1800
Silicone rubber	1150
Styrene-butadiene rubber (SBR)	940
Isoprene rubber (IR)	940
Unplasticized polyvinyl chloride (UPVC)	1300
Unsaturated polyester (UP)	1780
Urea-formaldehyde (UF)	1470
